t,upper,lower
0.000000E0,1.296050E2,
1.666667E0,1.292841E2,
3.333333E0,1.285381E2,
5.000000E0,1.275368E2,
6.666667E0,1.266303E2,
8.333333E0,1.255766E2,5.628128E1
1.000000E1,1.248214E2,5.529358E1
1.166667E1,1.241494E2,5.540487E1
1.333333E1,1.234775E2,5.644951E1
1.500000E1,1.228055E2,5.730212E1
1.666667E1,1.222280E2,5.695778E1
1.833333E1,1.219913E2,5.837849E1
2.000000E1,1.216737E2,5.894365E1
2.166667E1,1.214616E2,5.900052E1
2.333333E1,1.204515E2,5.960502E1
2.500000E1,1.194414E2,6.025827E1
2.666667E1,1.188674E2,6.023002E1
2.833333E1,1.183150E2,6.023002E1
3.000000E1,1.177626E2,6.035502E1
3.166667E1,1.170470E2,6.060502E1
3.333333E1,1.162868E2,6.107382E1
3.500000E1,1.159582E2,6.073002E1
3.666667E1,1.156297E2,6.048002E1
3.833333E1,1.153871E2,5.835502E1
4.000000E1,1.147360E2,5.998002E1
4.166667E1,1.144397E2,6.098002E1
4.333333E1,1.138386E2,6.123002E1
4.500000E1,1.135411E2,6.110502E1
4.666667E1,1.128527E2,6.123002E1
4.833333E1,1.124595E2,6.123002E1
5.000000E1,1.127300E2,6.107888E1
5.166667E1,1.114800E2,6.200449E1
5.333333E1,1.114800E2,6.219464E1
5.500000E1,1.107300E2,6.205993E1
5.666667E1,1.094800E2,6.226789E1
5.833333E1,1.094800E2,6.195246E1
6.000000E1,1.087300E2,6.197861E1
6.166667E1,1.084800E2,6.300689E1
6.333333E1,1.074800E2,6.281385E1
6.500000E1,1.074800E2,6.305073E1
6.666667E1,1.072300E2,6.309695E1
6.833333E1,1.069800E2,6.302661E1
7.000000E1,1.053644E2,6.416537E1
7.166667E1,1.056050E2,6.291044E1
7.333333E1,1.051050E2,6.231700E1
7.500000E1,1.046050E2,6.311958E1
7.666667E1,1.043550E2,6.320173E1
7.833333E1,1.033550E2,6.312076E1
8.000000E1,1.032300E2,6.401209E1
8.166667E1,1.024800E2,6.323408E1
8.333333E1,1.022300E2,6.217517E1
8.500000E1,1.013550E2,6.311049E1
8.666667E1,1.012300E2,6.208571E1
8.833333E1,1.002300E2,6.207420E1
9.000000E1,1.002300E2,6.317547E1
9.166667E1,9.935502E1,6.320608E1
9.333333E1,9.935502E1,6.298181E1
9.500000E1,9.826932E1,6.317990E1
9.666667E1,9.823002E1,6.197584E1
9.833333E1,9.823002E1,5.909334E1
1.000000E2,9.720995E1,6.292363E1
1.016667E2,9.673269E1,6.306806E1
1.033333E2,9.723002E1,6.308297E1
1.050000E2,9.621209E1,6.314446E1
1.066667E2,9.648002E1,6.301526E1
1.083333E2,9.523002E1,6.317827E1
1.100000E2,9.523002E1,6.297521E1
1.116667E2,9.464241E1,6.301131E1
1.133333E2,9.435502E1,6.006887E1
1.150000E2,9.448002E1,6.304774E1
1.166667E2,9.373486E1,6.023392E1
1.183333E2,9.345711E1,6.196458E1
1.200000E2,9.289001E1,6.196587E1
1.216667E2,9.267394E1,6.003248E1
1.233333E2,9.262670E1,6.214453E1
1.250000E2,9.213980E1,5.907115E1
1.266667E2,9.223002E1,5.809340E1
1.283333E2,9.173666E1,5.459668E1
1.300000E2,9.173002E1,5.688433E1
1.316667E2,9.123002E1,5.696498E1
1.333333E2,9.010502E1,5.633677E1
1.350000E2,9.023002E1,5.700228E1
1.366667E2,9.010502E1,5.597469E1
1.383333E2,9.010502E1,5.512096E1
1.400000E2,8.973002E1,5.617060E1
1.416667E2,8.935502E1,5.413260E1
1.433333E2,8.910502E1,5.589620E1
1.450000E2,8.835502E1,5.136252E1
1.466667E2,8.823002E1,5.026958E1
1.483333E2,8.785502E1,5.222623E1
1.500000E2,8.823002E1,5.132232E1
1.516667E2,8.610502E1,5.193711E1
1.533333E2,8.710502E1,5.309818E1
1.550000E2,8.723002E1,5.118105E1
1.566667E2,8.710502E1,5.293411E1
1.583333E2,8.641296E1,5.283668E1
1.600000E2,8.572090E1,5.100138E1
1.616667E2,8.571562E1,5.000156E1
1.633333E2,8.571034E1,5.013384E1
1.650000E2,8.548248E1,5.305963E1
1.666667E2,8.524644E1,5.207331E1
1.683333E2,8.511711E1,5.002044E1
1.700000E2,8.498778E1,4.716257E1
1.716667E2,8.424439E1,4.918793E1
1.733333E2,8.441567E1,5.000625E1
1.750000E2,8.426292E1,4.805626E1
1.766667E2,8.404731E1,5.127947E1
1.783333E2,8.360977E1,5.126801E1
1.800000E2,8.345382E1,5.100104E1
1.816667E2,8.339580E1,5.008477E1
1.833333E2,8.336048E1,5.102289E1
