
t,lower y,upper y
8.700,-391.5,-300.5
8.800,-391.5,-300.3
8.900,-391.6,-300.2
9.000,-391.4,-300.3
9.100,-390.6,-300.2
9.200,-389.6,-300.3
9.300,-389.2,-300.2
9.400,-388.7,-300.3
9.500,-388.5,-300.3
9.600,-388.4,-300.3
9.700,-388.3,-300.2
9.800,-388.1,-300.2
9.900,-387.8,-300.3
10.000,-387.6,-300.3
10.100,-387.5,-300.2
10.200,-387.5,-300.3
10.300,-387.3,-300.3
10.400,-387.3,-300.2
10.500,-386.5,-300.3
10.600,-386.6,-300.3
10.700,-386.5,-300.2
10.800,-386.4,-300.3
10.900,-386.6,-300.2
11.000,-386.5,-300.2
11.100,-386.5,-300.2
11.200,-386.4,-300.4
11.300,-386.2,-300.2
11.400,-385.5,-300.3
11.500,-385.4,-300.2
11.600,-385.7,-300.3
11.700,-385.6,-300.2
11.800,-385.7,-300.2
11.900,-385.5,-300.2
12.000,-385.5,-300.3
12.100,-385.4,-300.2
12.200,-385.2,-300.2
12.300,-385.2,-300.3
12.400,-384.5,-300.3
12.500,-384.4,-300.3
12.600,-384.5,-300.3
12.700,-384.6,-300.3
12.800,-384.4,-300.3
12.900,-384.3,-300.3
13.000,-384.3,-300.3
13.100,-384.1,-300.3
13.200,-384.2,-300.3
13.300,-384.1,-300.3
13.400,-383.9,-300.3
13.500,-383.8,-300.3
13.600,-383.8,-300.3
13.700,-383.8,-300.2
13.800,-383.7,-300.3
13.900,-383.7,-300.3
14.000,-383.6,-300.3
14.100,-383.5,-300.3
14.200,-383.5,-300.3
14.300,-383.2,-300.3
14.400,-383.3,-300.3
14.500,-383.3,-300.3
14.600,-383.2,-300.3
14.700,-383.1,-300.3
14.800,-383.1,-300.3
14.900,-382.9,-300.3
15.000,-382.8,-300.3
15.100,-382.7,-300.3
15.200,-382.7,-300.3
15.300,-382.6,-300.4
15.400,-382.7,-300.3
15.500,-382.5,-300.3
15.600,-382.3,-300.3
15.700,-382.5,-300.3
15.800,-382.4,-300.3
15.900,-382.4,-300.3
16.000,-382.2,-300.3
16.100,-382.2,-300.3
16.200,-382.2,-300.3
16.300,-381.8,-300.5
16.400,-381.8,-300.3
16.500,-381.8,-300.2
16.600,-381.7,-300.3
16.700,-381.6,-300.3
16.800,-381.6,-300.3
16.900,-381.4,-300.3
17.000,-381.3,-300.3
17.100,-381.5,-300.3
17.200,-381.3,-300.3
17.300,-381.4,-300.3
17.400,-381.3,-300.3
17.500,-381.3,-300.3
17.600,-380.8,-300.3
17.700,-381.2,-300.3
17.800,-381.2,-300.3
17.900,-380.9,-300.3
18.000,-380.5,-300.3
18.100,-380.8,-300.4
18.200,-380.7,-300.3
18.300,-380.5,-300.4
18.400,-380.5,-300.3
18.500,-380.4,-300.3
18.600,-380.3,-300.4
18.700,-380.2,-300.3
18.800,-380.1,-300.3
18.900,-380.2,-300.4
19.000,-379.9,-300.3
19.100,-379.9,-300.4
19.200,-379.8,-300.3
19.300,-379.8,-300.3
19.400,-379.8,-300.3
19.500,-379.7,-300.4
19.600,-379.6,-300.4
19.700,-379.5,-300.4
19.800,-379.4,-300.4
19.900,-379.3,-300.3
20.000,-379.4,-300.3
20.100,-379.4,-300.4
20.200,-379.4,-300.4
20.300,-379.2,-300.3
20.400,-379.4,-300.4
20.500,-379.2,-300.3
20.600,-379.2,-300.3
20.700,-379.2,-300.4
20.800,-378.9,-300.4
20.900,-378.9,-300.4
21.000,-378.8,-300.4
