t,upper
5.000000E0,1.719996E2
6.666667E0,1.717800E2
8.333333E0,1.713400E2
1.000000E1,1.709200E2
1.166667E1,1.705600E2
1.333333E1,1.702000E2
1.500000E1,1.698800E2
1.666667E1,1.695600E2
1.833333E1,1.692900E2
2.000000E1,1.690300E2
2.166667E1,1.688100E2
2.333333E1,1.685900E2
2.500000E1,1.683800E2
2.666667E1,1.681900E2
2.833333E1,1.679900E2
3.000000E1,1.677600E2
3.166667E1,1.675300E2
3.333333E1,1.673000E2
3.500000E1,1.670700E2
3.666667E1,1.668600E2
3.833333E1,1.666500E2
4.000000E1,1.664400E2
4.166667E1,1.662300E2
4.333333E1,1.660200E2
4.500000E1,1.658100E2
4.666667E1,1.656100E2
4.833333E1,1.654100E2
5.000000E1,1.652200E2
5.166667E1,1.650300E2
5.333333E1,1.648500E2
5.500000E1,1.646700E2
5.666667E1,1.644900E2
5.833333E1,1.643200E2
6.000000E1,1.641500E2
6.166667E1,1.639800E2
6.333333E1,1.638100E2
6.500000E1,1.636400E2
6.666667E1,1.634800E2
6.833333E1,1.633200E2
7.000000E1,1.631600E2
7.166667E1,1.630000E2
7.333333E1,1.628400E2
7.500000E1,1.626900E2
7.666667E1,1.625400E2
7.833333E1,1.623900E2
