t, upper, lower
5.000000E0,1.721000E2,1.170000E2
6.666667E0,1.718500E2,1.136000E2
8.333333E0,1.714000E2,1.136500E2
1.000000E1,1.710000E2,1.135500E2
1.166667E1,1.706500E2,1.145000E2
1.333333E1,1.702500E2,1.150500E2
1.500000E1,1.699500E2,1.157000E2
1.666667E1,1.696000E2,1.150500E2
1.833333E1,1.693000E2,1.152000E2
2.000000E1,1.690500E2,1.152500E2
2.166667E1,1.688500E2,1.157500E2
2.333333E1,1.686000E2,1.163000E2
2.500000E1,1.684000E2,1.160500E2
2.666667E1,1.682000E2,1.161500E2
2.833333E1,1.680000E2,1.162000E2
3.000000E1,1.677800E2,1.163000E2
3.166667E1,1.675500E2,1.162500E2
3.333333E1,1.673500E2,1.164000E2
3.500000E1,1.671000E2,1.164500E2
3.666667E1,1.668800E2,1.166500E2
3.833333E1,1.666800E2,1.165500E2
4.000000E1,1.664500E2,1.165000E2
4.166667E1,1.662500E2,1.165500E2
4.333333E1,1.660500E2,1.165500E2
4.500000E1,1.658500E2,1.165500E2
4.666667E1,1.656500E2,1.173000E2
4.833333E1,1.654500E2,1.173500E2
5.000000E1,1.652500E2,1.174000E2
5.166667E1,1.650500E2,1.177500E2
5.333333E1,1.648800E2,1.183000E2
5.500000E1,1.646800E2,1.182500E2
5.666667E1,1.645000E2,1.181500E2
5.833333E1,1.643500E2,1.181500E2
6.000000E1,1.641500E2,1.198000E2
6.166667E1,1.639800E2,1.197800E2
6.333333E1,1.638500E2,1.201500E2
6.500000E1,1.636500E2,1.200000E2
6.666667E1,1.635000E2,1.192500E2
6.833333E1,1.633500E2,1.195000E2
7.000000E1,1.631800E2,1.195500E2
7.166667E1,1.630200E2,1.196500E2
7.333333E1,1.628500E2,1.195000E2
7.500000E1,1.627000E2,1.195000E2
7.666667E1,1.625500E2,1.197500E2
7.833333E1,1.624000E2,1.197500E2
8.000000E1,,1.197500E2

