t,lower,upper
0.000,-391.5,-289.0
0.100,-393.6,-288.6
0.200,-395.4,-287.9
0.300,-396.4,-287.2
0.400,-396.7,-286.8
0.500,-394.7,-286.2
0.600,-390.8,-285.9
0.700,-387.7,-285.2
0.800,-386.9,-284.9
0.900,-386.2,-285.0
1.000,-386.2,-284.8
1.100,-386.8,-284.7
1.200,-388.1,-284.2
1.300,-389.5,-283.9
1.400,-389.9,-283.2
1.500,-389.3,-283.0
1.600,-387.8,-282.8
1.700,-386.8,-282.9
1.800,-385.2,-282.2
1.900,-385.1,-282.0
2.000,-385.2,-281.9
2.100,-385.6,-282.0
2.200,-385.7,-281.9
2.300,-386.0,-281.8
2.400,-385.5,-281.2
2.500,-385.8,-281.1
2.600,-385.3,-281.0
2.700,-384.8,-280.9
2.800,-384.3,-280.8
2.900,-384.3,-280.9
3.000,-384.1,-280.9
3.100,-384.4,-280.9
3.200,-384.7,-280.8
3.300,-384.6,-280.2
3.400,-384.6,-280.1
3.500,-384.2,-280.0
3.600,-384.2,-279.9
3.700,-384.3,-280.0
3.800,-384.5,-280.1
3.900,-384.4,-280.0
4.000,-384.2,-280.0
4.100,-384.3,-280.0
4.200,-384.6,-279.9
4.300,-384.8,-279.9
4.400,-384.5,-279.9
4.500,-384.4,-279.9
4.600,-384.4,-279.9
4.700,-384.6,-279.9
4.800,-384.4,-280.0
4.900,-384.7,-280.0
5.000,-384.4,-279.9
5.100,-383.8,-280.0
5.200,-383.4,-279.8
5.300,-383.5,-279.8
5.400,-382.9,-279.8
5.500,-382.4,-279.9
5.600,-382.3,-279.8
5.700,-382.5,-279.1
5.800,-382.4,-279.2
5.900,-382.1,-279.2
6.000,-382.2,-279.2
6.100,-382.6,-279.2
6.200,-382.5,-279.2
6.300,-382.7,-279.1
6.400,-382.5,-279.2
6.500,-382.2,-279.1
6.600,-382.5,-279.1
6.700,-382.5,-279.2
6.800,-382.2,-279.2
6.900,-382.3,-279.1
7.000,-382.0,-279.1
7.100,-382.3,-279.2
7.200,-382.5,-279.2
7.300,-382.5,-279.2
7.400,-382.3,-279.2
7.500,-381.8,-279.2
7.600,-381.6,-279.2
7.700,-381.7,-279.2
7.800,-381.5,-279.2
7.900,-381.4,-279.2
8.000,-381.2,-279.2
8.100,-380.9,-279.2
8.200,-381.2,-279.2
8.300,-381.2,-279.3
8.400,-381.3,-279.2
8.500,-381.5,-279.2
8.600,-381.0,-279.3
8.700,-381.2,-280.0
8.800,-381.1,-280.1
8.900,-381.1,-280.1
9.000,-381.5,-280.1
9.100,-381.2,-280.1
9.200,-381.6,-280.0
9.300,-381.2,-280.1
9.400,-381.3,-280.0
9.500,-381.1,-280.0
9.600,-380.9,-280.0
9.700,-380.7,-280.0
9.800,-380.3,-280.0
9.900,-380.4,-279.9
10.000,-380.2,-280.0
10.100,-380.4,-280.0
10.200,-379.9,-280.0
10.300,-379.6,-280.0
10.400,-379.2,-280.0
10.500,-379.7,-280.0
10.600,-378.9,-280.1
10.700,-378.8,-280.1
10.800,-378.2,-280.0
10.900,-378.6,-280.0
11.000,-378.5,-280.0
11.100,-378.5,-280.1
11.200,-378.6,-280.1
11.300,-378.3,-281.0
11.400,-377.9,-281.0
11.500,-378.1,-281.0
11.600,-378.3,-281.1
11.700,-378.5,-281.1
11.800,-378.4,-281.1
11.900,-378.6,-281.1
12.000,-378.4,-281.1
12.100,-378.5,-281.1
12.200,-378.4,-281.1
12.300,-378.5,-281.1
12.400,-378.2,-281.2
12.500,-378.3,-281.2
12.600,-378.5,-281.2
12.700,-378.3,-281.2
12.800,-378.3,-281.2
12.900,-378.3,-281.2
13.000,-378.6,-281.2
13.100,-378.3,-280.9
13.200,-378.4,-280.9
13.300,-378.0,-280.9
13.400,-377.8,-281.0
13.500,-377.5,-280.9
13.600,-377.7,-281.0
13.700,-377.5,-281.0
13.800,-377.5,-281.0
13.900,-377.4,-281.0
14.000,-377.5,-281.0
14.100,-377.6,-281.0
14.200,-377.4,-281.0
14.300,-377.0,-281.0
14.400,-376.8,-281.0
14.500,-376.7,-281.0
14.600,-376.6,-281.0
14.700,-376.8,-281.1
14.800,-376.4,-281.1
14.900,-376.5,-281.1
15.000,-376.7,-281.1
15.100,-376.7,-281.1
15.200,-376.5,-281.1
15.300,-376.4,-281.1
15.400,-376.5,-281.2
15.500,-376.6,-281.2
15.600,-376.2,-281.2
15.700,-376.8,-281.2
15.800,-376.6,-281.9
15.900,-376.5,-281.9
16.000,-376.7,-282.0
16.100,-376.2,-281.9
16.200,-376.8,-282.0
16.300,-376.4,-282.0
16.400,-376.2,-282.0
16.500,-376.5,-282.1
16.600,-376.7,-282.1
16.700,-376.4,-282.0
16.800,-376.3,-282.1
16.900,-376.4,-282.1
17.000,-376.5,-282.1
17.100,-376.5,-282.1
17.200,-376.2,-282.2
17.300,-376.4,-282.1
17.400,-376.2,-282.2
17.500,-376.7,-282.2
17.600,-376.4,-282.0
17.700,-376.5,-282.0
17.800,-376.2,-282.0
17.900,-376.6,-282.0
18.000,-376.0,-282.0
18.100,-375.8,-282.0
18.200,-375.8,-281.9
18.300,-375.4,-282.0
18.400,-375.4,-282.0
18.500,-375.4,-282.0
18.600,-375.4,-282.1
18.700,-375.0,-282.0
18.800,-375.5,-282.1
18.900,-375.6,-282.1
19.000,-375.0,-282.1
19.100,-374.4,-282.1
19.200,-374.8,-282.2
19.300,-374.3,-282.1
19.400,-374.3,-282.2
19.500,-374.4,-282.2
19.600,-374.5,-282.2
19.700,-374.4,-282.2
19.800,-374.2,-282.1
19.900,-374.4,-282.1
20.000,-374.4,-282.2
20.100,-374.3,-282.3
20.200,-374.7,-282.2
20.300,-374.2,-282.2
20.400,-374.2,-283.1
20.500,-374.7,-283.1
20.600,-373.8,-283.1
20.700,-373.6,-283.1
20.800,-373.6,-283.2
20.900,-373.4,-283.1
21.000,-373.7,-283.1
21.100,-373.7,-282.8
21.200,-373.3,-282.9
21.300,-373.4,-282.9
21.400,-373.7,-282.9
21.500,-373.4,-282.9
21.600,-373.5,-283.0
21.700,-373.6,-283.1
21.800,-373.3,-283.0
