frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,32683,378225,8.641152752990946,345542,91.35884724700905,0.09458473933704152
1,0.03337168758716876,33989,378225,8.986449864498645,344236,91.01355013550135,0.09873749404478323
2,0.06674337517433752,34039,378225,8.99966950889021,344186,91.00033049110979,0.09889710795906864
3,0.10011506276150628,33968,378225,8.980897613854188,344257,91.01910238614582,0.09867047002675326
4,0.13348675034867505,32687,378225,8.642210324542269,345538,91.35778967545774,0.0945974104150629
5,0.1668584379358438,32885,378225,8.694560116332871,345340,91.30543988366713,0.09522499565645451
6,0.20023012552301256,32329,378225,8.547557670698659,345896,91.45244232930135,0.09346450956356823
7,0.23360181311018133,31999,378225,8.460308017714324,346226,91.53969198228567,0.09242229064252828
8,0.2669735006973501,32332,378225,8.548350849362151,345893,91.45164915063785,0.09347399340258404
9,0.30034518828451884,31600,378225,8.354815255469628,346625,91.64518474453037,0.09116480346195456
10,0.3337168758716876,31506,378225,8.329962324013485,346719,91.67003767598652,0.09086897458749016
11,0.3670885634588564,31482,378225,8.323616894705532,346743,91.67638310529446,0.09079346951488566
12,0.4004602510460251,30765,378225,8.134047194130478,347460,91.86595280586953,0.08854256605076843
13,0.43383193863319386,30774,378225,8.13642673012096,347451,91.86357326987904,0.08857076249600664
14,0.46720362622036266,30734,378225,8.125851014607708,347491,91.8741489853923,0.08844545614131014
15,0.5005753138075314,29790,378225,7.8762641284949435,348435,92.12373587150505,0.08549657755391966
16,0.5339470013947002,29607,378225,7.827880230021813,348618,92.1721197699782,0.08492676798099925
17,0.5673186889818689,30508,378225,8.06609822195783,347717,91.93390177804217,0.08773801683553005
18,0.6006903765690377,30149,378225,7.971181175226387,348076,92.02881882477362,0.08661614130247418
19,0.6340620641562065,29867,378225,7.896622380857956,348358,92.10337761914205,0.08573651243835365
20,0.6674337517433752,29278,378225,7.740894969925309,348947,92.25910503007469,0.08390385932534167
21,0.700805439330544,29171,378225,7.712604930927358,349054,92.28739506907264,0.08357159637190807
22,0.7341771269177128,29852,378225,7.892656487540485,348373,92.10734351245952,0.08568976355802545
23,0.7675488145048814,29938,378225,7.915394275893979,348287,92.08460572410601,0.08595784511049795
24,0.8009205020920502,29467,378225,7.790865225725428,348758,92.20913477427457,0.08449125181357847
25,0.834292189679219,29704,378225,7.853526340141451,348521,92.14647365985856,0.08522872366371037
26,0.8676638772663877,30200,378225,7.984665212505783,348025,92.01533478749423,0.08677537533223188
27,0.9010355648535565,29852,378225,7.892656487540485,348373,92.10734351245952,0.08568976355802545
28,0.9344072524407253,28896,378225,7.639896886773746,349329,92.36010311322626,0.08271858334120556
29,0.967778940027894,29156,378225,7.708639037609888,349069,92.29136096239012,0.08352503373258582
30,1.0011506276150628,29643,378225,7.837398373983739,348582,92.16260162601625,0.08503881439661257
31,1.0345223152022316,29213,378225,7.723709432216273,349012,92.27629056778372,0.08370199305468007
32,1.0678940027894004,29557,378225,7.8146605856302465,348668,92.18533941436975,0.08477118634345567
33,1.1012656903765692,29512,378225,7.802762905677837,348713,92.19723709432216,0.08463120101630854
34,1.1346373779637378,29786,378225,7.875206556943619,348439,92.12479344305639,0.08548411630156211
35,1.1680090655509066,30199,378225,7.984400819617952,348026,92.01559918038204,0.08677225264779068
36,1.2013807531380754,29450,378225,7.786370546632296,348775,92.2136294533677,0.08443839151315317
37,1.2347524407252441,29720,378225,7.8577566263467515,348505,92.14224337365326,0.0852785469361989
38,1.268124128312413,29954,378225,7.91962456209928,348271,92.08037543790071,0.08600773535551338
39,1.3014958158995817,29191,378225,7.717892788683985,349034,92.28210721131602,0.08363368611653879
40,1.3348675034867503,29469,378225,7.79139401150109,348756,92.2086059884989,0.08449747101125142
41,1.3682391910739191,29830,378225,7.886839844008196,348395,92.1131601559918,0.08562120581523845
42,1.401610878661088,29142,378225,7.70493753718025,349083,92.29506246281976,0.08348157887952148
43,1.4349825662482567,28999,378225,7.667129354220371,349226,92.33287064577964,0.08303791813897018
44,1.4683542538354255,28883,378225,7.636459779231938,349342,92.36354022076806,0.08267829233244213
45,1.5017259414225943,27895,378225,7.375239606054597,350330,92.62476039394541,0.07962492507064768
46,1.5350976290097629,28147,378225,7.44186661378809,350078,92.55813338621192,0.08040208182176543
47,1.5684693165969317,28142,378225,7.440544649348932,350083,92.55945535065106,0.08038665116558073
48,1.6018410041841005,27723,378225,7.3297640293476105,350502,92.6702359706524,0.0790951264186795
49,1.6352126917712693,27316,378225,7.222156124000264,350909,92.77784387599974,0.07784354348278329
50,1.668584379358438,27004,378225,7.139665542996894,351221,92.8603344570031,0.07688606319098232
51,1.7019560669456069,27090,378225,7.1624033313503865,351135,92.83759666864961,0.07714981417403563
52,1.7353277545327754,27216,378225,7.195716835217132,351009,92.80428316478286,0.07753647342375837
53,1.7686994421199442,27053,378225,7.152620794500628,351172,92.84737920549937,0.07703632408050756
54,1.802071129707113,27146,378225,7.17720933306894,351079,92.82279066693106,0.07732162846538813
55,1.8354428172942818,27198,378225,7.190957763236169,351027,92.80904223676383,0.07748121939338
56,1.8688145048814506,26801,378225,7.085993786767136,351424,92.91400621323287,0.0762640001821162
57,1.9021861924686194,26962,378225,7.128561041707979,351263,92.87143895829202,0.07675730150912564
58,1.935557880055788,27762,378225,7.340075351973032,350463,92.65992464802697,0.07921520959416543
59,1.9689295676429568,27395,378225,7.243043162138939,350830,92.75695683786105,0.07808625260097483
60,2.0023012552301256,27492,378225,7.268689272258576,350733,92.73131072774142,0.07838441207414187
