frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,402354,402613,99.93567023419511,259,0.06432976580487963,1553.4903474903474
1,0.033372056611845446,402359,402613,99.93691212156587,254,0.06308787843412905,1584.0905511811025
2,0.06674411322369089,402327,402613,99.92896404239306,286,0.07103595760693271,1406.7377622377621
3,0.10011616983553633,402338,402613,99.93169619460872,275,0.06830380539128145,1463.0472727272727
4,0.13348822644738179,402350,402613,99.93467672429853,263,0.06532327570148008,1529.8479087452472
5,0.1668602830592272,402356,402613,99.93616698914342,257,0.0638330108565794,1565.5875486381324
6,0.20023233967107265,402356,402613,99.93616698914342,257,0.0638330108565794,1565.5875486381324
7,0.2336043962829181,402366,402613,99.93865076388492,247,0.061349236115078254,1629.012145748988
8,0.26697645289476357,402366,402613,99.93865076388492,247,0.061349236115078254,1629.012145748988
9,0.300348509506609,402359,402613,99.93691212156587,254,0.06308787843412905,1584.0905511811025
10,0.3337205661184544,402358,402613,99.93666374409173,255,0.06333625590827917,1577.8745098039215
11,0.36709262273029986,402386,402613,99.94361831336792,227,0.05638168663207597,1772.625550660793
12,0.4004646793421453,402385,402613,99.94336993589378,228,0.056630064106226084,1764.8464912280701
13,0.43383673595399075,402392,402613,99.94510857821282,221,0.05489142178717528,1820.7782805429865
14,0.4672087925658362,402368,402613,99.93914751883322,245,0.06085248116677802,1642.3183673469389
15,0.5005808491776816,402387,402613,99.94386669084207,226,0.05613330915792585,1780.4734513274336
16,0.5339529057895271,402381,402613,99.94237642599717,232,0.057623574002826534,1734.4008620689656
17,0.5673249624013725,402387,402613,99.94386669084207,226,0.05613330915792585,1780.4734513274336
18,0.600697019013218,402369,402613,99.93939589630737,244,0.060604103692627906,1649.0532786885246
19,0.6340690756250634,402374,402613,99.94063778367813,239,0.05936221632187734,1683.5732217573222
20,0.6674411322369088,402371,402613,99.93989265125566,242,0.060107348744327674,1662.690082644628
21,0.7008131888487543,402372,402613,99.94014102872983,241,0.05985897127017757,1669.5933609958506
22,0.7341852454605997,402365,402613,99.93840238641077,248,0.06159761358922836,1622.4395161290322
23,0.7675573020724452,402363,402613,99.93790563146247,250,0.062094368537528595,1609.452
24,0.8009293586842906,402354,402613,99.93567023419511,259,0.06432976580487963,1553.4903474903474
25,0.8343014152961361,402361,402613,99.93740887651417,252,0.06259112348582882,1596.670634920635
26,0.8676734719079815,402342,402613,99.93268970450532,271,0.067310295494681,1484.6568265682656
27,0.901045528519827,402353,402613,99.93542185672098,260,0.06457814327902975,1547.5115384615385
28,0.9344175851316724,402349,402613,99.93442834682436,264,0.0655716531756302,1524.0492424242425
