frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,302632,378225,80.01374843016723,75593,19.98625156983277,4.0034394719087745
1,0.03337168758716876,302988,378225,80.10787229823518,75237,19.89212770176482,4.027114318752742
2,0.06674337517433752,303104,378225,80.13854187322362,75121,19.86145812677639,4.034877065001797
3,0.10011506276150628,302967,378225,80.10232004759072,75258,19.89767995240928,4.0257115522602245
4,0.13348675034867505,302331,378225,79.93416617093,75894,20.065833829069998,3.983595541149498
5,0.1668584379358438,302307,378225,79.92782074162204,75918,20.07217925837795,3.982020074290682
6,0.20023012552301256,302124,378225,79.87943684314892,76101,20.12056315685108,3.9700398155083376
7,0.23360181311018133,302082,378225,79.86833234186001,76143,20.131667658139996,3.9672983727985502
8,0.2669735006973501,301940,378225,79.83078855178796,76285,20.169211448212042,3.9580520416857836
9,0.30034518828451884,302033,378225,79.85537709035627,76192,20.14462290964373,3.9641038429231417
10,0.3337168758716876,301820,378225,79.7990614052482,76405,20.2009385947518,3.9502650350107977
11,0.3670885634588564,301716,378225,79.77156454491374,76509,20.228435455086256,3.943536054581814
12,0.4004602510460251,301236,378225,79.64465595875471,76989,20.355344041245292,3.9127148034134747
13,0.43383193863319386,300974,378225,79.57538502214291,77251,20.424614977857093,3.8960531255258832
14,0.46720362622036266,300674,378225,79.4960671557935,77551,20.503932844206492,3.8771131255560856
15,0.5005753138075314,299706,378225,79.24013484037279,78519,20.759865159627207,3.816986971306308
16,0.5339470013947002,299352,378225,79.14653975808051,78873,20.853460241919493,3.795367235936252
17,0.5673186889818689,300849,378225,79.54233591116399,77376,20.45766408883601,3.888143610421836
18,0.6006903765690377,301141,378225,79.61953863441073,77084,20.380461365589266,3.9066602667220174
19,0.6340620641562065,300925,378225,79.56242977063917,77300,20.43757022936083,3.892949547218629
20,0.6674337517433752,300225,378225,79.37735474915725,78000,20.62264525084275,3.8490384615384614
21,0.700805439330544,300147,378225,79.3567321039064,78078,20.643267896093594,3.8441942672711904
22,0.7341771269177128,299886,378225,79.28772556018244,78339,20.71227443981757,3.828054991766553
23,0.7675488145048814,299958,378225,79.30676184810629,78267,20.693238151893713,3.832496454444402
24,0.8009205020920502,299646,378225,79.22427126710292,78579,20.775728732897086,3.8133088993242468
25,0.834292189679219,299459,378225,79.17482979707846,78766,20.82517020292154,3.8018815224843205
26,0.8676638772663877,299507,378225,79.18752065569437,78718,20.812479344305636,3.8048095734139586
27,0.9010355648535565,299325,378225,79.13940115010905,78900,20.860598849890938,3.793726235741445
28,0.9344072524407253,298976,378225,79.04712803225593,79249,20.95287196774407,3.7726154273240042
29,0.967778940027894,298929,378225,79.03470156652787,79296,20.96529843347214,3.7697866222760292
30,1.0011506276150628,298631,378225,78.95591248595413,79594,21.044087514045874,3.751928537326934
31,1.0345223152022316,298527,378225,78.92841562561968,79698,21.07158437438033,3.74572762177219
32,1.0678940027894004,298359,378225,78.88399762046402,79866,21.11600237953599,3.735744872661708
33,1.1012656903765692,298250,378225,78.85517879569039,79975,21.144821204309604,3.729290403251016
34,1.1346373779637378,298144,378225,78.82715314958027,80081,21.172846850419724,3.723030431687916
35,1.1680090655509066,298084,378225,78.8112895763104,80141,21.188710423689603,3.7194943911356235
36,1.2013807531380754,297968,378225,78.78062000132196,80257,21.219379998678036,3.712673037865856
37,1.2347524407252441,298153,378225,78.82953268557075,80072,21.170467314429242,3.723561294834649
